"No","大分類","小分類","設問主旨","難易度","設問内容"
"link:ans_preprocess_knock_SQL.html#s-084[S-084,window=ANS100]","除算エラー対応","0で代替","・分母がNULLや0の場合でも除算結果データを作成する","★★","顧客テーブル（customer）の全顧客に対し、全期間の売上金額に占める2019年売上金額の割合を計算せよ。ただし、販売実績のない場合は0として扱うこと。そして計算した割合が0超のものを抽出せよ。 結果は10件表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-085[S-085,window=ANS100]","座標データ","ジオコード","・郵便番号からジオコードに変換する","★","顧客テーブル（customer）の全顧客に対し、郵便番号（postal_cd）を用いて経度緯度変換用テーブル（geocode）を紐付け、新たなcustomer_1を作成せよ。ただし、複数紐づく場合は経度（longitude）、緯度（latitude）それぞれ平均を算出すること。"
"link:ans_preprocess_knock_SQL.html#s-086[S-086,window=ANS100]","座標データ","ジオコード","・経度緯度から距離を計算する","★★★ (実質 ★★)","前設問で作成した緯度経度つき顧客テーブル（customer_1）に対し、申込み店舗コード（application_store_cd）をキーに店舗テーブル（store）と結合せよ。そして申込み店舗の緯度（latitude）・経度情報（longitude)と顧客の緯度・経度を用いて距離（km）を求め、顧客ID（customer_id）、顧客住所（address）、店舗住所（address）とともに表示せよ。計算式は簡易式で良いものとするが、その他精度の高い方式を利用したライブラリを利用してもかまわない。結果は10件表示すれば良い。"
"link:ans_preprocess_knock_SQL.html#s-087[S-087,window=ANS100]","名寄せ","完全一致","・PK以外の項目を利用した名寄せを行う","★★","顧客テーブル（customer）では、異なる店舗での申込みなどにより同一顧客が複数登録されている。名前（customer_name）と郵便番号（postal_cd）が同じ顧客は同一顧客とみなし、1顧客1レコードとなるように名寄せした名寄顧客テーブル（customer_u）を作成せよ。ただし、同一顧客に対しては売上金額合計が最も高いものを残すものとし、売上金額合計が同一もしくは売上実績の無い顧客については顧客ID（customer_id）の番号が小さいものを残すこととする。"
"link:ans_preprocess_knock_SQL.html#s-088[S-088,window=ANS100]","名寄せ","変換データ作成","・名寄変換データを作成する","★★","前設問で作成したデータを元に、顧客テーブルに統合名寄IDを付与したテーブル（customer_n）を作成せよ。ただし、統合名寄IDは以下の仕様で付与するものとする。

* 重複していない顧客：顧客ID（customer_id）を設定
* 重複している顧客：前設問で抽出したレコードの顧客IDを設定
"
"link:ans_preprocess_knock_SQL.html#s-089[S-089,window=ANS100]","データ分割","レコードデータ","・ホールドアウト法によるデータの分割を行う","★","売上実績のある顧客に対し、予測モデル構築のため学習用データとテスト用データに分割したい。それぞれ8:2の割合でランダムに分割し、テーブルを作成せよ。"
"link:ans_preprocess_knock_SQL.html#s-090[S-090,window=ANS100]","データ分割","時系列データ","・時系列データを分割する","★★","レシート明細テーブル（receipt）は2017年1月1日〜2019年10月31日までのデータを有している。売上金額（amount）を月次で集計し、学習用に12ヶ月、テスト用に6ヶ月のモデル構築用データを3テーブルとしてセット作成せよ。データの持ち方は自由とする。"
"link:ans_preprocess_knock_SQL.html#s-091[S-091,window=ANS100]","不均衡データ","アンダーサンプリング","・アンダーサンプリングにより不均衡データを調整する","★★","顧客テーブル（customer）の各顧客に対し、売上実績のある顧客数と売上実績のない顧客数が1:1となるようにアンダーサンプリングで抽出せよ。"
"link:ans_preprocess_knock_SQL.html#s-092[S-092,window=ANS100]","正規化・非正規化","正規化","・非正規化データから第三正規化データを作成する","★","顧客テーブル（customer）では、性別に関する情報が非正規化の状態で保持されている。これを第三正規化せよ。"
"link:ans_preprocess_knock_SQL.html#s-093[S-093,window=ANS100]","正規化・非正規化","非正規化","・第三正規化されたデータから非正規化データを作成する","★","商品テーブル（product）では各カテゴリのコード値だけを保有し、カテゴリ名は保有していない。カテゴリテーブル（category）と組み合わせて非正規化し、カテゴリ名を保有した新たな商品テーブルを作成せよ。"
"link:ans_preprocess_knock_SQL.html#s-094[S-094,window=ANS100]","正規化・非正規化","CSV出⼒（ヘッダ有り、コード変換なし）","・文字コードとヘッダ有無を指定しながらCSVファイルを作成する","★","先に作成したカテゴリ名付き商品データを以下の仕様でファイル出力せよ。出力先のパスは'/tmp/data'を指定することでJupyterの/'work/data'と共有されるようになっている。なお、COPYコマンドの権限は付与済みである。

* ファイル形式はCSV（カンマ区切り）
* ヘッダ有り
* 文字コードはUTF-8
"
"link:ans_preprocess_knock_SQL.html#s-095[S-095,window=ANS100]","ファイル入出力","CSV出⼒（ヘッダ有り、UTF-8 → SJIS）","・文字コードとヘッダ有無を指定しながらCSVファイルを作成する","★","先に作成したカテゴリ名付き商品データを以下の仕様でファイル出力せよ。出力先のパスは'/tmp/data'を指定することでJupyterの/'work/data'と共有されるようになっている。なお、COPYコマンドの権限は付与済みである。

* ファイル形式はCSV（カンマ区切り）
* ヘッダ有り
* 文字コードはSJIS
"
"link:ans_preprocess_knock_SQL.html#s-096[S-096,window=ANS100]","ファイル入出力","CSV出⼒（ヘッダ無し、コード変換なし）","・文字コードとヘッダ有無を指定しながらCSVファイルを作成する","★","先に作成したカテゴリ名付き商品データを以下の仕様でファイル出力せよ。出力先のパスは'/tmp/data'を指定することでJupyterの/'work/data'と共有されるようになっている。なお、COPYコマンドの権限は付与済みである。

* ファイル形式はCSV（カンマ区切り）
* ヘッダ無し
* 文字コードはUTF-8
"
"link:ans_preprocess_knock_SQL.html#s-097[S-097,window=ANS100]","ファイル入出力","CSV⼊⼒（ヘッダ有り、コード変換なし）","・文字コードとヘッダ有無を指定しながらCSVファイルを読み込む","★","先に作成した以下形式のファイルを読み込み、テーブルを作成せよ。また、先頭3件を表示させ、正しくとりまれていることを確認せよ。

* ファイル形式はCSV（カンマ区切り）
* ヘッダ有り
* 文字コードはUTF-8
"
"link:ans_preprocess_knock_SQL.html#s-098[S-098,window=ANS100]","ファイル入出力","CSV⼊⼒（ヘッダ無し、コード変換なし）","・文字コードとヘッダ有無を指定しながらCSVファイルを読み込む","★","先に作成した以下形式のファイルを読み込み、テーブルを作成せよ。また、先頭3件を表示させ、正しくとりまれていることを確認せよ。

* ファイル形式はCSV（カンマ区切り）
* ヘッダ無し
* 文字コードはUTF-8
"
"link:ans_preprocess_knock_SQL.html#s-099[S-099,window=ANS100]","ファイル入出力","TSV出⼒（ヘッダ有り、コード変換なし）","・文字コードとヘッダ有無を指定しながらTSVファイルを作成する","★","先に作成したカテゴリ名付き商品データを以下の仕様でファイル出力せよ。出力先のパスは'/tmp/data'を指定することでJupyterの/'work/data'と共有されるようになっている。なお、COPYコマンドの権限は付与済みである。

* ファイル形式はTSV（タブ区切り）
* ヘッダ有り
* 文字コードはUTF-8
"
"link:ans_preprocess_knock_SQL.html#s-100[S-100,window=ANS100]","ファイル入出力","TSV⼊⼒（ヘッダ有り、コード変換なし）","・文字コードとヘッダ有無を指定しながらTSVファイルを読み込む","★","先に作成した以下形式のファイルを読み込み、テーブルを作成せよ。また、先頭10件を表示させ、正しくとりまれていることを確認せよ。

* ファイル形式はTSV（タブ区切り）
* ヘッダ有り
* 文字コードはUTF-8
"
